ID,Title,Content,Short Description,Post Type,Parent Product ID,Sku,Price,Regular Price,Sale Price,Stock Status,Stock,Manage Stock,Attribute Name (pa_artikul),Attribute Value (pa_artikul),Attribute In Variations (pa_artikul),Attribute Is Visible (pa_artikul),Attribute Is Taxonomy (pa_artikul),Attribute Name (pa_brend),Attribute Value (pa_brend),Attribute In Variations (pa_brend),Attribute Is Visible (pa_brend),Attribute Is Taxonomy (pa_brend),Attribute Name (pa_cvet),Attribute Value (pa_cvet),Attribute In Variations (pa_cvet),Attribute Is Visible (pa_cvet),Attribute Is Taxonomy (pa_cvet),Attribute Name (pa_pol),Attribute Value (pa_pol),Attribute In Variations (pa_pol),Attribute Is Visible (pa_pol),Attribute Is Taxonomy (pa_pol),Attribute Name (pa_razmer),Attribute Value (pa_razmer),Attribute In Variations (pa_razmer),Attribute Is Visible (pa_razmer),Attribute Is Taxonomy (pa_razmer),Attribute Name (pa_sezon),Attribute Value (pa_sezon),Attribute In Variations (pa_sezon),Attribute Is Visible (pa_sezon),Attribute Is Taxonomy (pa_sezon),Product Type,Product Visibility,Image URL,Image Featured,brend,Categori,Comment Status,Default Attributes,Product Attributes
21926,кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,"голубой эффект омбре перфорация ребристая подошва без застежки логотип Swoosh изогнутая форма Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,product,0,31067662,140,,,instock,,no,Артикул,IB6366,no,yes,yes,Бренд,Nike,no,yes,yes,Цвет,синий,yes,yes,yes,Пол,Мужской,no,yes,yes,Размер,10|11|12|13|14|8|9,yes,yes,yes,Сезон,AW25,no,yes,yes,variable,visible,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,Nike,Обувь,open,"a:2:{s:7:""pa_cvet"";s:5:""sinij"";s:9:""pa_razmer"";s:1:""8"";}","a:6:{s:7:""pa_cvet"";a:6:{s:4:""name"";s:7:""pa_cvet"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:9:""pa_razmer"";a:6:{s:4:""name"";s:9:""pa_razmer"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:10:""pa_artikul"";a:6:{s:4:""name"";s:10:""pa_artikul"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:6:""pa_pol"";a:6:{s:4:""name"";s:6:""pa_pol"";s:5:""value"";s:0:"""";s:8:""position"";i:3;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:8:""pa_sezon"";a:6:{s:4:""name"";s:8:""pa_sezon"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:8:""pa_brend"";a:6:{s:4:""name"";s:8:""pa_brend"";s:5:""value"";s:0:"""";s:8:""position"";i:5;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
21928,кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,"голубой эффект омбре перфорация ребристая подошва без застежки логотип Swoosh изогнутая форма Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,product,21926,31067662_13,177,177,,instock,3,yes,Артикул,,no,yes,yes,Бренд,,no,yes,yes,Цвет,синий,yes,yes,yes,Пол,,no,yes,yes,Размер,13,yes,yes,yes,Сезон,,no,yes,yes,variable,visible,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,Nike,Обувь,open,,
21929,кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,"голубой эффект омбре перфорация ребристая подошва без застежки логотип Swoosh изогнутая форма Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,product,21926,31067662_12,185,185,,instock,1,yes,Артикул,,no,yes,yes,Бренд,,no,yes,yes,Цвет,синий,yes,yes,yes,Пол,,no,yes,yes,Размер,12,yes,yes,yes,Сезон,,no,yes,yes,variable,visible,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,Nike,Обувь,open,,
21930,кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,"голубой эффект омбре перфорация ребристая подошва без застежки логотип Swoosh изогнутая форма Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,product,21926,31067662_11,140,140,,instock,2,yes,Артикул,,no,yes,yes,Бренд,,no,yes,yes,Цвет,синий,yes,yes,yes,Пол,,no,yes,yes,Размер,11,yes,yes,yes,Сезон,,no,yes,yes,variable,visible,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,Nike,Обувь,open,,
21931,кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,"голубой эффект омбре перфорация ребристая подошва без застежки логотип Swoosh изогнутая форма Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,product,21926,31067662_10,184,184,,instock,2,yes,Артикул,,no,yes,yes,Бренд,,no,yes,yes,Цвет,синий,yes,yes,yes,Пол,,no,yes,yes,Размер,10,yes,yes,yes,Сезон,,no,yes,yes,variable,visible,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,Nike,Обувь,open,,
21932,кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,"голубой эффект омбре перфорация ребристая подошва без застежки логотип Swoosh изогнутая форма Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,product,21926,31067662_9,152,152,,instock,2,yes,Артикул,,no,yes,yes,Бренд,,no,yes,yes,Цвет,синий,yes,yes,yes,Пол,,no,yes,yes,Размер,9,yes,yes,yes,Сезон,,no,yes,yes,variable,visible,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,Nike,Обувь,open,,
21933,кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,"голубой эффект омбре перфорация ребристая подошва без застежки логотип Swoosh изогнутая форма Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,product,21926,31067662_8,140,140,,instock,2,yes,Артикул,,no,yes,yes,Бренд,,no,yes,yes,Цвет,синий,yes,yes,yes,Пол,,no,yes,yes,Размер,8,yes,yes,yes,Сезон,,no,yes,yes,variable,visible,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,Nike,Обувь,open,,
21934,кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,"голубой эффект омбре перфорация ребристая подошва без застежки логотип Swoosh изогнутая форма Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",кроссовки ReactX Rejuven8 Midnight Navy/Comet Blue,product,21926,31067662_14,177,177,,instock,3,yes,Артикул,,no,yes,yes,Бренд,,no,yes,yes,Цвет,синий,yes,yes,yes,Пол,,no,yes,yes,Размер,14,yes,yes,yes,Сезон,,no,yes,yes,variable,visible,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,http://electro.bt-krim.ru/wp-content/uploads/2025/08/31067662_60972407_1000.webp,Nike,Обувь,open,,
